run_name,total_time,mean_iter_time,mean_tps,peak_mem_usage
batch_size=512,27.957881212234497,0.02761834546139366,18538.40233534988,2197
batch_size=1024,36.25339674949646,0.03356456756591797,30508.3626651513,2277
batch_size=2048,8.227608680725098,0.04928203632957057,41556.724367153314,2796
batch_size=4096,11.021801471710205,0.07716768666317589,53079.21200072199,3847
batch_size=8192,16.97929835319519,0.1376472648821379,59514.44082099631,5956
batch_size=16384,28.889097213745117,0.25657420409353154,63856.77023878588,10148
batch_size=32768,52.59370732307434,0.49192717200831365,66611.48613975366,18566
