run_name,mini_batch_size,total_batch_size,total_time,mean_iter_time,mean_tps,peak_mem_usage
batch_size=1024 (1x1024),1024,1024,30.017098903656006,0.012480412609875202,82048.56938702121,2448
batch_size=2048 (2x1024),2048,2048,35.08133316040039,0.013577702651290517,150835.53179781442,2949
batch_size=4096 (4x1024),4096,4096,5.505285978317261,0.018853957519719477,217248.81875415106,3995
batch_size=8192 (8x1024),8192,8192,6.753729581832886,0.0300197087620434,272887.39091159595,6094
batch_size=16384 (16x1024),16384,16384,8.674509048461914,0.05124369435208408,319727.1431569543,10282
batch_size=32768 (32x1024),32768,32768,13.493443250656128,0.09956691938599474,329105.2912159217,18670
batch_size=65536 (64x1024),65536,65536,54.204824447631836,0.1876860937397731,349178.77341975964,35457
